Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Tax status,In stock?,Stock,Backorders allowed?,Regular price,Categories,Tags,Meta: _supplier_cost
simple,RT10,Retatrutide 10mg,1,0,visible,NEVER COMING. For laboratory research use only. Not for human or veterinary use.,taxable,0,0,0,599.99,Research Peptides,,60
simple,RT20,Retatrutide 20mg,1,0,visible,NEVER COMING. For laboratory research use only. Not for human or veterinary use.,taxable,0,0,0,1299.99,Research Peptides,,130
simple,RT30,Retatrutide 30mg,1,0,visible,NEVER COMING. For laboratory research use only. Not for human or veterinary use.,taxable,0,0,0,1999.99,Research Peptides,,200
simple,TSM10,Tesamorelin 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,8,0,1399.99,Research Peptides,,140
simple,SM5,Semaglutide 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,8,0,299.99,Research Peptides,,30
simple,BC10,BPC-157 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,10,0,499.99,Research Peptides,,50
simple,BT10,TB-500 (Thymosin Beta-4) 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,4,0,1099.99,Research Peptides,,110
simple,KLOW80,KLOW Blend 80mg (BPC-157 10 + TB-500 10),1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,1699.99,Blends,,170
simple,BBG70,BBG Blend 70mg (BPC-157 10 + TB-500 10),1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,1599.99,Blends,,160
simple,BB10,BPC-157 + TB-500 Blend 10mg (5+5),1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,949.99,Blends,,95
simple,BA10,Bacteriostatic Water 10ml,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,100,0,99.99,Supplies,,10
simple,SMO10,Sermorelin 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,14,0,949.99,Research Peptides,,95
simple,SMO5,Sermorelin 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,4,0,599.99,Research Peptides,,60
simple,SM2,Semaglutide 2mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,4,0,279.99,Research Peptides,,28
simple,SM10,Semaglutide 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,6,0,449.99,Research Peptides,,45
simple,TR10,Tirzepatide 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,8,0,449.99,Research Peptides,,45
simple,TR20,Tirzepatide 20mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,4,0,699.99,Research Peptides,,70
simple,BC5,BPC-157 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,6,0,399.99,Research Peptides,,40
simple,CU50,GHK-Cu (Copper Peptide) 50mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,8,0,279.99,Research Peptides,,28
simple,IP10,Ipamorelin 10mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,4,0,549.99,Research Peptides,,55
simple,IP5,Ipamorelin 5mg,1,0,visible,For laboratory research use only. Not for human or veterinary use.,taxable,1,2,0,399.99,Research Peptides,,40
